번호,제목,저자,구독자,평점,리뷰수,정상가,할인가,썸네일URL
12,C++로 만드는 게임 엔진 프레임워크 (소코반과 슈팅 게임으로 배우는 엔진 구조),RonnieJ,-,5.0,(11),"₩163,900","₩81,950",https://cdn.inflearn.com/public/files/courses/341168/cover/ai/1/a47caa65-3f42-4547-ac47-6a3dcbb27c0e.png?w=420
13,클로드코드 | PM/PO서비스기획자를 위한 에이전트 설계,레브(Reve),-,-,-,"₩93,500","₩65,450",https://cdn.inflearn.com/public/files/courses/341735/cover/ai/2/46057702-c731-40e0-9621-0ca4f05dea9b.png?w=420
14,안정적인 AI 에이전트 서비스 운영을 위한 평가(Evaluation) 방법,제이쓴,-,-,-,"₩69,300","₩48,510",https://cdn.inflearn.com/public/files/courses/340324/cover/01kmv3grqht3v8c5rw0v01hat1?w=420
15,AI 입문을 위한 LLM 아키텍처 이해와 GPU 활용전략,김현진,100+,5.0,(2),"₩143,000","₩143,000",https://cdn.inflearn.com/public/files/courses/341618/cover/01kmvxztzk14g9x95gr1ce5181?w=420
16,Python으로 엑셀 업무 자동화 완전정복,칼퇴자동화연구소,-,-,-,"₩75,900","₩45,540",https://cdn.inflearn.com/public/files/courses/341778/cover/ai/0/6541e6c8-11a8-4ed5-a6cf-0d33eb319662.png?w=420
17,비개발자를 위한 클로드코드앱 & 깃헙 실전 정복기,셀피쉬클럽,-,-,-,"₩99,000","₩29,700",https://cdn.inflearn.com/public/files/courses/341764/cover/01kntvtqpjqvqhepd9bw0zgqaw?w=420
18,대한민국 정부 디자인 시스템으로 시작하는 UX/UI 디자인 (KRDS),Neo,-,5.0,(3),"₩165,000","₩55,000",https://cdn.inflearn.com/public/files/courses/340504/cover/01knxs9zwfw44depd8xz5y2ecm?w=420
19,"[구글 올인원 AI] 아날로그 업무 현장, 'AI 자동화'로 시스템 구축하기",컨100,-,-,-,"₩110,000","₩77,000",https://cdn.inflearn.com/public/files/courses/341706/cover/01kne729szsn3maef05r48zpsv?w=420
20,실전 React 포트폴리오 완성 – 공공 API + 지도 서비스 만들기 (배포까지),LIZ.B,-,-,-,"₩38,500","₩11,550",https://cdn.inflearn.com/public/files/courses/341189/cover/ai/1/e452f0fe-2913-4877-a5ec-71a306837d69.png?w=420
21,기술 창업자를 위한 첫 10명 고객 확보 실전 영업,mj,-,-,-,"₩55,000","₩16,500",https://cdn.inflearn.com/public/files/courses/341761/cover/ai/0/bf1f26b1-7057-4021-8020-f5d8294bd1c8.png?w=420
22,Terraform으로 AWS 인프라 자동화 - 입문: 기초부터 실습까지 (설치 없이 SaaS 실습),Hyunmin Lim,-,-,-,"₩42,900","₩12,870",https://cdn.inflearn.com/public/files/courses/341811/cover/01kp39y2z9rvbwdst6cq7bfspg?w=420
23,인공지능 개발 Part 5 실전 딥러닝 프로젝트,소프트캠퍼스,-,-,-,"₩99,000","₩49,500",https://cdn.inflearn.com/public/files/courses/341749/cover/01kntbtzck7aws6xmx01qr1j2s?w=420
24,Docker 속성 코스: 입문에서 전문가까지,amrit,-,-,-,"₩16,500","₩11,550",https://cdn.inflearn.com/public/files/courses/340561/cover/ai/0/f80d64a4-b916-47eb-a703-f84044bab802.png?w=420
25,"20,000+ RPS 병렬처리를 위한 네이버 면접관이 알려주는 Reactive 프로그래밍",Hong,-,5.0,(4),"₩99,000","₩49,500",https://cdn.inflearn.com/public/files/courses/341149/cover/01kjsbafr5v8psecgzr76dyczh?w=420
26,누구나 배울 수 있는 자동제어의 기본 2 - 시퀀스와 PLC프로그래밍,윤훈상,-,-,-,"₩60,500","₩39,330",https://cdn.inflearn.com/public/files/courses/341800/cover/ai/0/953baea9-9ac3-4c09-b555-fc7502fff6dd.png?w=420
27,비전공자들을 위한 실무 밀착 GA - 기초편,그로스쿨,-,-,-,"₩55,000","₩9,900",https://cdn.inflearn.com/public/files/courses/341766/cover/01kntjzyx4ykwvgacx9tebae24?w=420
28,로마서 8대 핵심 주제로 배우는 복음의 이해와 실천,꿈꾸는요새,-,-,-,"₩22,000","₩6,600",https://cdn.inflearn.com/public/files/courses/341728/cover/ai/1/15e70b98-b2e6-43cc-83b9-b79e7d544ffa.png?w=420
29,바닥부터 만드는 언리얼 에이전트 (Liu),Rookiss,200+,5.0,(6),"₩440,000","₩440,000",https://cdn.inflearn.com/public/files/courses/341317/cover/01kk8e7f1nqbrzy31rb991fb6m?w=420
30,[하루 10분] 노션 AI로 업무 자동화부터 재테크 관리까지! + 나만의 AI 비서팀 만들기,원하는 하루회원관리,-,-,-,"₩159,500","₩79,750",https://cdn.inflearn.com/public/files/courses/341768/cover/01kp29491pth451yaxs6syr5s9?w=420
31,"Next.js 마스터 클래스: Part 3 - 실전 아키텍처 완성 (서버-클라이언트 동기화, 극한의 최적화, 풀스택 보안)",nhcodingstudio,100+,5.0,(4),"₩99,000","₩24,750",https://cdn.inflearn.com/public/files/courses/341396/cover/01kmecs45zq49m8d393f1njfdj?w=420
32,"논리로 설계하고, 감정으로 설득하는 글쓰기 – 통합 완성 패키지","이시형 비지니스 컨설턴트, 작가",-,-,-,"₩110,000","₩66,000",https://cdn.inflearn.com/public/files/courses/341769/cover/01knv0rgaef3kj29e4aw7xf5mq?w=420
33,누구나 쉽게 배우는 HVAC 시운전,윤훈상,-,-,-,"₩66,000","₩46,200",https://cdn.inflearn.com/public/files/courses/341655/cover/ai/3/6be9bbfa-051f-4321-ba92-930f88578c52.png?w=420
34,임원의 결정을 이끌어내는 실전 사업계획서: 중급자를 위한 비즈니스 로직 설계,"이시형 비지니스 컨설턴트, 작가",-,-,-,"₩99,000","₩59,400",https://cdn.inflearn.com/public/files/courses/341752/cover/01knqy48zw1d0r62dg03as7dps?w=420
35,노코드 앱 개발 마스터 과정 : FlutterFlow로 인스타그램 클론 앱 개발 입문부터 완성까지,THE100,-,5.0,(3),"₩64,900","₩32,450",https://cdn.inflearn.com/public/files/courses/341723/cover/01knx2je6by3n0njh6z1rmvwq9?w=420
36,2026 벼락치기 합격! 기출문제 집중 정보처리기사 실기,멍슨상,100+,5.0,(5),"₩48,400","₩36,300",https://cdn.inflearn.com/public/files/courses/338985/cover/01k5x1g19g2wa0xbmpbv9kf423?w=420
37,AI Agent 영어 과외 선생님과 함께하는 요즘시대 영어 학습법! (IELTS 기능 업데이트),Terry Lee,100+,4.8,(18),"₩50,600","₩37,950",https://cdn.inflearn.com/public/files/courses/340335/cover/01kgv7gxjqczmf8nmgj1b5awha?w=420
38,ChatGPT 업무혁신 BIBLE – 바이브코딩(Vibe Coding)을 통한 시민개발자 혁신 전략,kimw24072,-,-,-,"₩66,000","₩52,800",https://cdn.inflearn.com/public/files/courses/341765/cover/01kntk3gzjpsqghwqg31rv5gd3?w=420
39,제대로 파는 Git & GitHub - by 얄코(Yalco),얄팍한 코딩사전,"7,900+","₩33,000",-,"₩44,000","₩44,000",https://cdn.inflearn.com/public/files/courses/328284/cover/01kfcdaapebvjktdgynzazxwvb?w=420
40,ChatGPT로 블로그 자동화 수익 만들기,Sunny - 자동화&실전 IT!,-,1.8,(5),"₩8,800","₩8,800",https://cdn.inflearn.com/public/files/courses/341637/cover/ai/3/2bf52b76-f352-4aff-85bc-100faf1fca6d.png?w=420
41,350개의 개인 앱을 만들어 월급의 7배 수익을 달성한 방법,프로그래밍좀비,"2,200+",4.8,(279),"₩429,000","₩429,000",-
42,누구나 배울 수 있는 자동제어의 기본,윤훈상,-,-,-,"₩55,000","₩55,000",https://cdn.inflearn.com/public/files/courses/341415/cover/ai/3/177f8649-e122-43d6-9a86-12b15b0fdb9a.png?w=420
43,프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),인프런,"33,800+",4.8,"(1,327)","₩33,000","₩33,000",https://cdn.inflearn.com/public/courses/324145/cover/184a19f3-c99f-4eea-a764-dc8e71d4c37a/324145.png?w=420
44,AI로 썸네일 만들어서 돈 버는 법,Sunny - 자동화&실전 IT!,-,-,-,"₩8,800","₩8,800",https://cdn.inflearn.com/public/files/courses/341638/cover/ai/1/6f57dc8b-e710-4f86-9632-cea0f5359e77.png?w=420
